cow,baseline_score_std,calibration_factor,reference_score_threshold,calibrated_score_threshold,reference_background_per_cow_day,calibrated_background_per_cow_day
2056,0.412928,0.993939,0.12,0.119273,0.39304,0.39304
7443,0.412745,0.993499,0.12,0.11922,0.39304,0.39304
8061,0.415446,1.0,0.12,0.12,0.29478,0.29478
8081,0.420117,1.011245,0.12,0.121349,0.19652,0.19652
8086,0.413955,0.996412,0.12,0.119569,0.39304,0.39304
8147,0.426431,1.026443,0.12,0.123173,0.389452,0.389452
8149,0.419399,1.009516,0.12,0.121142,0.58956,0.58956
8154,0.411645,0.990852,0.12,0.118902,0.39304,0.39304
8165,0.41833,1.006943,0.12,0.120833,0.4913,0.4913
8548,0.42259,1.017198,0.12,0.122064,0.39304,0.39304
9888,0.407847,0.98171,0.12,0.117805,0.4913,0.4913
