configuration,event_id,cow,scenario,target_branch,start,end,duration_hours,expected_hypo,expected_instability,expected_hybrid,design_reason,heldout_start,event_after_heldout,informative_source_window,hypo_detected_any_overlap,hypo_novel_start_count,hypo_episode_overlap,hypo_detected_iou20,hypo_best_iou,hypo_episode_overlap_raw,hypo_detected_iou20_raw,hypo_best_iou_raw,hypo_attributable_interval_count,hypo_onset_delay_hours,hypo_score_max,hypo_background_notifs,instability_detected_any_overlap,instability_novel_start_count,instability_episode_overlap,instability_detected_iou20,instability_best_iou,instability_episode_overlap_raw,instability_detected_iou20_raw,instability_best_iou_raw,instability_attributable_interval_count,instability_onset_delay_hours,instability_score_max,instability_background_notifs,hybrid_detected_any_overlap,hybrid_novel_start_count,hybrid_episode_overlap,hybrid_detected_iou20,hybrid_best_iou,hybrid_episode_overlap_raw,hybrid_detected_iou20_raw,hybrid_best_iou_raw,hybrid_attributable_interval_count,hybrid_onset_delay_hours,hybrid_score_max,hybrid_background_notifs,monitoring_days
reference,8081_hypo_mild_1500,8081,hypo_mild,HYPO,2023-11-01 01:45:00,2023-11-02 01:30:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,0,0.19298245614035087,0,,0.47182750667155865,2,0,0,0,0,0.0,0,0,0.0,2,,0.8942024080511018,6,0,0,0,0,0.0,1,0,0.19298245614035087,2,,0.8942024080511018,8,10.177083333333334
reference,8081_hypo_moderate_1620,8081,hypo_moderate,HYPO,2023-11-02 07:45:00,2023-11-03 19:30:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,1,1,1,0.3125,1,1,0.3125,45,9.5,0.28494231706130463,2,0,0,0,0,0.0,1,0,0.02702702702702703,19,,0.7955547646963547,6,1,1,1,1,0.24305555555555555,1,1,0.3125,62,9.5,0.7955547646963547,8,10.177083333333334
reference,8081_hypo_marked_1788,8081,hypo_marked,HYPO,2023-11-04 01:45:00,2023-11-06 01:30:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,1,1,0,0.026041666666666668,1,1,0.7438423645320197,13,10.25,0.7487888830837607,2,0,0,0,0,0.0,0,0,0.0,39,,0.4968299690873759,6,1,1,1,0,0.026041666666666668,1,1,0.6651982378854625,44,10.25,0.7487888830837607,8,10.177083333333334
reference,8081_instability_mild_2004,8081,instability_mild,INSTABILITE,2023-11-06 07:45:00,2023-11-06 15:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.10764488876493897,2,1,1,1,0,0.0625,1,0,0.0625,2,6.25,1.0,6,1,1,1,0,0.0625,1,0,0.0625,2,6.25,1.0,8,10.177083333333334
reference,8081_instability_moderate_2060,8081,instability_moderate,INSTABILITE,2023-11-06 21:45:00,2023-11-07 09:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.044585720278083996,2,1,1,1,1,0.22916666666666666,1,1,0.22916666666666666,11,8.5,0.7226218673202764,6,1,1,1,1,0.22916666666666666,1,1,0.22916666666666666,11,8.5,0.7226218673202764,8,10.177083333333334
reference,8081_instability_marked_2132,8081,instability_marked,INSTABILITE,2023-11-07 15:45:00,2023-11-08 07:30:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,21,,0.12114961137915443,2,1,2,1,0,0.109375,1,1,0.3787878787878788,19,5.25,1.0,6,1,2,1,0,0.109375,1,1,0.3787878787878788,40,5.25,1.0,8,10.177083333333334
reference,8081_isolated_sensor_spike_2220,8081,isolated_sensor_spike,CONTROLE,2023-11-08 13:45:00,2023-11-08 13:45:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 18:45:00,True,False,0,0,0,0,0.0,0,0,0.0,0,,0.11723710506148372,2,0,0,0,0,0.0,0,0,0.0,5,,0.5628480151366276,6,0,0,0,0,0.0,0,0,0.0,5,,0.5628480151366276,8,10.177083333333334
reference,8081_short_exercise_2245,8081,short_exercise,CONTROLE,2023-11-08 20:00:00,2023-11-08 21:45:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.1621872928810419,2,0,0,0,0,0.0,0,0,0.0,0,,0.721780294852522,6,0,0,0,0,0.0,0,0,0.0,0,,0.721780294852522,8,10.177083333333334
reference,8081_estrus_like_activity_2277,8081,estrus_like_activity,CONFONDANT,2023-11-09 04:00:00,2023-11-09 09:45:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.08105244067187062,2,1,1,1,0,0.08333333333333333,1,0,0.08333333333333333,2,4.25,0.7970354428912403,6,1,1,1,0,0.08333333333333333,1,0,0.08333333333333333,2,4.25,0.7970354428912403,8,10.177083333333334
reference,8081_nonlocomotor_hypoactivity_2325,8081,nonlocomotor_hypoactivity,CONFONDANT,2023-11-09 16:00:00,2023-11-10 15:45:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 18:45:00,True,True,1,1,1,1,0.39805825242718446,1,1,0.39805825242718446,52,13.75,0.3775195739143257,2,0,0,0,0,0.0,0,0,0.0,2,,1.0,6,1,1,1,1,0.39805825242718446,1,1,0.39805825242718446,54,13.75,1.0,8,10.177083333333334
reference,8147_hypo_mild_2341,8147,hypo_mild,HYPO,2023-11-09 19:45:00,2023-11-10 19:30:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 22:30:00,True,True,1,1,1,0,0.039603960396039604,1,0,0.03007518796992481,9,23.0,0.2768441793432966,4,0,0,0,0,0.0,0,0,0.0,0,,0.8019999999999999,7,1,1,1,0,0.039603960396039604,1,0,0.03007518796992481,9,23.0,0.8019999999999999,12,10.270833333333334
reference,8147_hypo_moderate_1516,8147,hypo_moderate,HYPO,2023-11-01 05:30:00,2023-11-02 17:15:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 22:30:00,True,True,1,1,1,0,0.13194444444444445,1,1,0.5694444444444444,21,10.5,0.4656802230970063,4,1,2,1,0,0.027777777777777776,1,0,0.027777777777777776,12,32.0,0.8894994584756581,7,1,3,1,0,0.13194444444444445,1,1,0.5694444444444444,33,10.5,0.8894994584756581,12,10.270833333333334
reference,8147_hypo_marked_1684,8147,hypo_marked,HYPO,2023-11-02 23:30:00,2023-11-04 23:15:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 22:30:00,True,True,1,1,1,1,0.53125,1,1,0.6875,102,14.75,0.4641378384098044,4,0,0,1,0,0.03125,1,0,0.08333333333333333,13,,0.7763993992113917,7,1,1,1,1,0.28125,1,1,0.6927083333333334,96,14.75,0.7763993992113917,12,10.270833333333334
reference,8147_instability_mild_1900,8147,instability_mild,INSTABILITE,2023-11-05 05:30:00,2023-11-05 13:15:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,0,0.17894736842105263,0,,0.4272958381014369,4,0,0,0,0,0.0,0,0,0.0,0,,0.5843750000000001,7,0,0,0,0,0.0,1,0,0.17894736842105263,0,,0.5843750000000001,12,10.270833333333334
reference,8147_instability_moderate_1956,8147,instability_moderate,INSTABILITE,2023-11-05 19:30:00,2023-11-06 07:15:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,1,0.4157303370786517,15,,0.30764455441135025,4,1,1,1,0,0.10416666666666667,1,1,0.3125,8,6.25,0.7076671857201613,7,1,1,1,0,0.020833333333333332,1,1,0.449438202247191,16,6.25,0.7076671857201613,12,10.270833333333334
reference,8147_instability_marked_2028,8147,instability_marked,INSTABILITE,2023-11-06 13:30:00,2023-11-07 05:15:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 22:30:00,True,True,0,0,0,0,0.0,0,0,0.0,33,,0.06977687652883657,4,0,0,1,0,0.109375,1,1,0.3125,10,,1.0,7,0,0,1,0,0.109375,1,1,0.3125,43,,1.0,12,10.270833333333334
reference,8147_isolated_sensor_spike_2116,8147,isolated_sensor_spike,CONTROLE,2023-11-07 11:30:00,2023-11-07 11:30:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 22:30:00,True,False,0,0,0,0,0.0,0,0,0.0,2,,0.1270452419530113,4,0,0,0,0,0.0,0,0,0.0,0,,0.3438364742108172,7,0,0,0,0,0.0,0,0,0.0,2,,0.3438364742108172,12,10.270833333333334
reference,8147_short_exercise_2141,8147,short_exercise,CONTROLE,2023-11-07 17:45:00,2023-11-07 19:30:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,0,0.047619047619047616,0,,0.0340824815617902,4,0,0,0,0,0.0,0,0,0.0,0,,0.9035842984931941,7,0,0,0,0,0.0,1,0,0.047619047619047616,0,,0.9035842984931941,12,10.270833333333334
reference,8147_estrus_like_activity_2173,8147,estrus_like_activity,CONFONDANT,2023-11-08 01:45:00,2023-11-08 07:30:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 22:30:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.1577670563531417,4,0,0,0,0,0.0,0,0,0.0,0,,0.7313948466707227,7,0,0,0,0,0.0,0,0,0.0,0,,0.7313948466707227,12,10.270833333333334
reference,8147_nonlocomotor_hypoactivity_2221,8147,nonlocomotor_hypoactivity,CONFONDANT,2023-11-08 13:45:00,2023-11-09 13:30:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 22:30:00,True,True,1,1,1,1,0.32323232323232326,1,1,0.32323232323232326,35,16.0,0.33376311891207083,4,0,0,0,0,0.0,0,0,0.0,36,,0.5479965740415579,7,1,1,1,1,0.32323232323232326,1,1,0.32323232323232326,71,16.0,0.5479965740415579,12,10.270833333333334
