configuration,event_id,cow,scenario,target_branch,start,end,duration_hours,expected_hypo,expected_instability,expected_hybrid,design_reason,heldout_start,event_after_heldout,informative_source_window,hypo_detected_any_overlap,hypo_novel_start_count,hypo_episode_overlap,hypo_detected_iou20,hypo_best_iou,hypo_episode_overlap_raw,hypo_detected_iou20_raw,hypo_best_iou_raw,hypo_attributable_interval_count,hypo_onset_delay_hours,hypo_score_max,hypo_background_notifs,instability_detected_any_overlap,instability_novel_start_count,instability_episode_overlap,instability_detected_iou20,instability_best_iou,instability_episode_overlap_raw,instability_detected_iou20_raw,instability_best_iou_raw,instability_attributable_interval_count,instability_onset_delay_hours,instability_score_max,instability_background_notifs,hybrid_detected_any_overlap,hybrid_novel_start_count,hybrid_episode_overlap,hybrid_detected_iou20,hybrid_best_iou,hybrid_episode_overlap_raw,hybrid_detected_iou20_raw,hybrid_best_iou_raw,hybrid_attributable_interval_count,hybrid_onset_delay_hours,hybrid_score_max,hybrid_background_notifs,monitoring_days
reference,2056_hypo_mild_1503,2056,hypo_mild,HYPO,2023-11-01 01:45:00,2023-11-02 01:30:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,0,0,1,0,0.010416666666666666,1,1,0.2708333333333333,2,,0.4575241085445167,4,0,0,0,0,0.0,1,0,0.07291666666666667,0,,0.5879109852426521,7,0,0,1,0,0.010416666666666666,1,1,0.3020833333333333,1,,0.5879109852426521,8,10.177083333333334
reference,2056_hypo_moderate_1623,2056,hypo_moderate,HYPO,2023-11-02 07:45:00,2023-11-03 19:30:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,1,1,1,0.4097222222222222,1,1,0.4097222222222222,59,9.25,0.40378205769099934,4,0,0,1,0,0.006802721088435374,1,0,0.0625,19,,1.0,7,1,1,1,1,0.3333333333333333,1,1,0.4097222222222222,67,9.25,1.0,8,10.177083333333334
reference,2056_hypo_marked_1791,2056,hypo_marked,HYPO,2023-11-04 01:45:00,2023-11-06 01:30:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,1,1,0,0.15104166666666666,1,1,0.7704081632653061,34,10.25,0.7051128881677172,4,1,1,1,0,0.016736401673640166,1,0,0.016736401673640166,55,47.0,1.0,7,1,2,1,0,0.15104166666666666,1,1,0.6317991631799164,80,10.25,1.0,8,10.177083333333334
reference,2056_instability_mild_2007,2056,instability_mild,INSTABILITE,2023-11-06 07:45:00,2023-11-06 15:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.16026375301770038,4,0,0,0,0,0.0,0,0,0.0,0,,1.0,7,0,0,0,0,0.0,0,0,0.0,0,,1.0,8,10.177083333333334
reference,2056_instability_moderate_2063,2056,instability_moderate,INSTABILITE,2023-11-06 21:45:00,2023-11-07 09:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.06938541656119493,4,1,1,1,0,0.0625,1,0,0.0625,3,8.5,0.6169512029321085,7,1,1,1,0,0.0625,1,0,0.0625,3,8.5,0.6169512029321085,8,10.177083333333334
reference,2056_instability_marked_2135,2056,instability_marked,INSTABILITE,2023-11-07 15:45:00,2023-11-08 07:30:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,58,,0.09447605048182908,4,1,2,1,1,0.3076923076923077,1,1,0.3076923076923077,30,4.5,1.0,7,1,2,1,1,0.3076923076923077,1,1,0.3076923076923077,88,4.5,1.0,8,10.177083333333334
reference,2056_isolated_sensor_spike_2223,2056,isolated_sensor_spike,CONTROLE,2023-11-08 13:45:00,2023-11-08 13:45:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 18:45:00,True,False,0,0,0,0,0.0,0,0,0.0,17,,0.0206896551724138,4,0,0,0,0,0.0,0,0,0.0,0,,0.31554000391901227,7,0,0,0,0,0.0,0,0,0.0,17,,0.31554000391901227,8,10.177083333333334
reference,2056_short_exercise_2248,2056,short_exercise,CONTROLE,2023-11-08 20:00:00,2023-11-08 21:45:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.15497656412920635,4,0,0,0,0,0.0,0,0,0.0,0,,0.34158059484144804,7,0,0,0,0,0.0,0,0,0.0,0,,0.34158059484144804,8,10.177083333333334
reference,2056_estrus_like_activity_2280,2056,estrus_like_activity,CONFONDANT,2023-11-09 04:00:00,2023-11-09 09:45:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,15,,0.17626346984798702,4,1,1,1,1,0.25,1,1,0.25,6,3.75,0.632136595398226,7,1,1,1,1,0.25,1,1,0.25,17,3.75,0.632136595398226,8,10.177083333333334
reference,2056_nonlocomotor_hypoactivity_2328,2056,nonlocomotor_hypoactivity,CONFONDANT,2023-11-09 16:00:00,2023-11-10 15:45:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 18:45:00,True,True,1,1,1,0,0.03125,1,0,0.16666666666666666,27,23.5,0.2389822490999643,4,0,0,0,0,0.0,0,0,0.0,0,,0.6272445361508101,7,1,1,1,0,0.03125,1,0,0.16666666666666666,22,23.5,0.6272445361508101,8,10.177083333333334
